Date,GBP_Rate,EUR_Rate,GBP_7DMA,EUR_7DMA,GBP_EUR_Ratio
2019-04-03,90.7675,77.3878,90.62172857,77.91598571,1.172891593
2019-04-04,90.6354,77.7317,90.60055714,78.04632857,1.166003059
2019-04-05,90.7804,78.0403,90.66492857,78.17735714,1.163250269
2019-04-08,90.9538,78.3124,90.63228571,78.23361429,1.161422712
2019-04-09,90.3799,77.912,90.58691429,78.24721429,1.160025413
2019-04-10,90.2762,77.7942,90.61018571,78.32108571,1.160448979
2019-04-11,90.5589,78.2335,90.62015714,78.39794286,1.15754632
2019-04-12,90.6193,78.3002,90.57731429,78.37211429,1.157331654
2019-04-15,91.086,78.6489,90.56487143,78.34755714,1.158134443
2019-04-16,90.5519,78.4341,90.45755714,78.26587143,1.154496577
2019-04-18,90.6362,78.4076,90.42654286,78.21487143,1.155961922
2019-04-22,90.5428,78.4291,90.44808571,78.14008571,1.15445415
2019-04-23,90.346,78.3322,90.40488571,77.98435714,1.153369879
2019-04-24,90.259,78.0527,90.49802857,77.8849,1.156385365
2019-04-25,90.5322,78.1283,90.59968571,77.83465714,1.158763214
2019-04-26,90.3348,78.0771,90.65225714,77.8181,1.156994817
2019-04-30,90.3348,78.0771,90.74555714,77.84252857,1.156994817
2019-05-01,90.787,77.8841,90.83014286,77.90128571,1.16566796
2019-05-02,90.2404,77.339,90.923,78.04965714,1.166816225
2019-05-03,90.998,77.636,91.06204286,78.30852857,1.172110876
2019-05-06,90.9706,77.701,91.00974286,78.45881429,1.170777725
2019-05-07,90.9002,78.0124,90.89875714,78.60452857,1.165201942
2019-05-08,90.9879,78.2481,90.73124286,78.6647,1.162812899
2019-05-09,90.9269,78.4884,90.38191429,78.56722857,1.158475647
2019-05-10,91.437,78.9227,90.05264286,78.45805714,1.158564013
2019-05-13,91.2137,79.1511,89.64614286,78.29942857,1.152399651
2019-05-14,90.6319,78.688,89.1759,78.08535714,1.151788074
2019-05-15,90.1937,78.721,88.84307143,77.98341429,1.145738748
2019-05-16,89.7276,78.4336,88.59818571,77.85498571,1.143994411
2019-05-17,88.5426,77.5658,88.39127143,77.77267143,1.141515977
2019-05-20,88.622,77.7242,88.38098571,77.83605714,1.140211157
2019-05-21,88.5915,77.8123,88.31592857,77.83395714,1.138528228
2019-05-22,87.922,77.6526,88.23275714,77.82202857,1.132247987
2019-05-23,88.3021,77.9744,88.24522857,77.83291429,1.132449881
2019-05-24,88.4795,77.822,88.16125714,77.77402857,1.136947136
2019-05-27,88.2792,77.8574,88.06881429,77.79958571,1.13385754
2019-05-28,88.4706,78.0095,88.01098571,77.79412857,1.134100334
2019-05-29,88.1666,77.7095,87.94685714,77.80264286,1.134566559
2019-05-30,88.0093,77.7288,87.96102857,77.92334286,1.132261144
2019-05-31,88.0093,77.7288,87.96538571,78.04492857,1.132261144
2019-06-01,87.7143,77.5622,88.01094286,78.18367143,1.130889789
2019-06-03,87.8324,78.0009,88.05471429,78.29964286,1.126043417
2019-06-04,87.8744,77.8192,88.10702857,78.36105714,1.129212328
2019-06-06,88.0217,78.0691,88.10922857,78.42587143,1.127484498
2019-06-07,88.2658,78.5544,88.02901429,78.47647143,1.12362643
2019-06-10,88.0398,78.5799,87.91787143,78.3962,1.120385748
2019-06-11,88.3282,78.7,87.96638571,78.38065714,1.122340534
2019-06-12,88.0207,78.374,87.97164286,78.36424286,1.123085462
2019-06-13,88.1986,78.4308,88.06621429,78.46991429,1.124540359
2019-06-14,87.8898,78.2729,88.09728571,78.55872857,1.122863724
2019-06-17,87.4602,78.4233,88.08955714,78.62758571,1.115232335
2019-06-18,87.4878,77.9925,88.1289,78.65121429,1.121746322
2019-06-19,88.3794,78.4711,88.10887143,78.70341429,1.126266868
2019-06-20,88.365,78.5851,87.97891429,78.65447143,1.1244498
2019-06-21,88.6827,79.1137,87.81622857,78.55912857,1.120952503
2019-06-24,88.4161,79.0525,87.51978571,78.36082857,1.118447867
2019-06-25,87.8357,78.7549,87.25635714,78.16591429,1.115304572
2019-06-26,87.7356,78.5887,87.0661,77.98918571,1.116389506
2019-06-27,87.3476,78.3579,86.82667143,77.77762857,1.114726148
2019-06-28,87.4697,78.1285,86.6169,77.59047143,1.119562004
2019-07-01,87.2262,77.9177,86.30707143,77.39937143,1.119465795
2019-07-02,86.6076,77.7256,86.08248571,77.2745,1.114273804
2019-07-03,86.5721,77.6881,85.99728571,77.21271429,1.114354708
2019-07-04,86.5039,77.5178,85.944,77.15832857,1.115923053
2019-07-05,86.0596,77.1078,85.83854286,77.11061429,1.11609461
2019-07-08,85.8792,77.0478,85.743,77.1157,1.114622351
2019-07-09,85.3009,76.7908,85.71974286,77.17157143,1.110821869
2019-07-10,85.6541,77.0436,85.85172857,77.27518571,1.111761392
2019-07-11,86.0112,77.2931,85.94337143,77.32917143,1.112792733
2019-07-12,86.1991,77.3074,85.93194286,77.31665714,1.11501745
2019-07-15,85.7657,77.1838,85.88714286,77.26725714,1.11118784
2019-07-16,85.3908,77.1434,85.93115714,77.21501429,1.106909988
2019-07-17,85.7164,77.4389,85.99667143,77.18648571,1.106890723
2019-07-18,86.2248,77.5161,85.92565714,77.07452857,1.112346983
2019-07-19,86.2956,77.4215,85.54275714,76.9401,1.114620616
2019-07-22,85.9312,77.2055,85.17715714,76.85731429,1.11301915
2019-07-23,85.8855,76.9616,84.86494286,76.7288,1.115952631
2019-07-24,86.0738,76.8181,84.60832857,76.72522857,1.120488531
2019-07-25,85.8494,76.9437,84.49144286,76.93244286,1.115743069
2019-07-26,85.2193,76.6552,84.51215714,77.26182857,1.111722362
2019-07-29,83.5445,76.5751,84.65601429,77.66825714,1.09101392
2019-07-30,83.7364,76.842,85.02862857,78.07057143,1.089721767
2019-07-31,83.7457,76.3059,85.29607143,78.36555714,1.097499669
2019-08-01,84.0892,76.9366,85.60295714,78.85838571,1.092967456
2019-08-02,85.2556,78.2686,85.83938571,79.21821429,1.089269515
2019-08-05,85.9944,79.2494,85.99242857,79.34367143,1.085111054
2019-08-06,86.2263,79.5002,86.10788571,79.32784286,1.084604819
